"","wave_n","region","start_date","rank"
"1",1,"Western Cape",2020-04-04,1
"2",1,"Eastern Cape",2020-04-24,2
"3",1,"KwaZulu-Natal",2020-05-04,3
"4",1,"Gauteng",2020-05-10,4
"5",1,"Free State",2020-06-06,5
"6",1,"Northern Cape",2020-06-30,6
"7",1,"Limpopo",2020-07-01,7
"8",1,"North West",2020-07-03,8
"9",1,"Mpumalanga",NA,9
