"","wave_n","region","start_date","rank"
"1",2,"North West",2020-09-28,1
"2",2,"Northern Cape",2020-10-01,2
"3",2,"Western Cape",2020-10-01,3
"4",2,"Eastern Cape",2020-10-20,4
"5",2,"Free State",2020-10-20,5
"6",2,"KwaZulu-Natal",2020-10-20,6
"7",2,"Limpopo",2020-11-01,7
"8",2,"Mpumalanga",2020-11-11,8
"9",2,"Gauteng",2020-11-17,9
