"","wave_n","region","start_date","rank"
"1",5,"Gauteng",2020-03-12,1
"2",5,"KwaZulu-Natal",2020-03-12,2
"3",5,"Western Cape",2020-03-14,3
"4",5,"Mpumalanga",2020-03-21,4
"5",5,"Eastern Cape",2020-03-27,5
"6",5,"Free State",2020-04-07,6
"7",5,"Limpopo",2020-04-14,7
"8",5,"North West",2020-04-14,8
"9",5,"Northern Cape",2020-04-15,9
