"","wave_n","region","start_date","rank"
"1",3,"Eastern Cape",2021-03-21,1
"2",3,"North West",2021-03-21,2
"3",3,"Northern Cape",2021-03-21,3
"4",3,"Western Cape",2021-03-21,4
"5",3,"Limpopo",2021-03-28,5
"6",3,"Gauteng",2021-04-12,6
"7",3,"Mpumalanga",2021-04-15,7
"8",3,"Free State",2021-04-16,8
"9",3,"KwaZulu-Natal",2021-05-18,9
