"","wave_n","region","start_date","rank"
"1",2,"North West",2020-09-28,1
"2",2,"Eastern Cape",2020-10-09,2
"3",2,"Northern Cape",2020-10-09,3
"4",2,"Free State",2020-10-17,4
"5",2,"Western Cape",2020-10-19,5
"6",2,"Limpopo",2020-10-31,6
"7",2,"KwaZulu-Natal",2020-11-05,7
"8",2,"Gauteng",2020-11-16,8
"9",2,"Mpumalanga",2020-11-24,9
