"","wave_n","region","start_date","rank"
"1",1,"Western Cape",2020-04-02,1
"2",1,"Gauteng",2020-04-14,2
"3",1,"Eastern Cape",2020-04-22,3
"4",1,"KwaZulu-Natal",2020-05-01,4
"5",1,"Free State",2020-06-01,5
"6",1,"North West",2020-06-13,6
"7",1,"Limpopo",2020-06-16,7
"8",1,"Mpumalanga",2020-06-20,8
"9",1,"Northern Cape",2020-06-25,9
