"","wave_n","region","start_date","rank"
"1",5,"Eastern Cape",2022-03-22,1
"2",5,"Gauteng",2022-03-22,2
"3",5,"Limpopo",2022-04-04,3
"4",5,"Northern Cape",2022-04-04,4
"5",5,"Free State",NA,5
"6",5,"KwaZulu-Natal",NA,6
"7",5,"Mpumalanga",NA,7
"8",5,"North West",NA,8
"9",5,"Western Cape",NA,9
