"","wave_n","region","start_date","rank"
"1",3,"Gauteng",2021-11-05,1
"2",3,"Limpopo",2021-11-05,2
"3",3,"North West",2021-11-05,3
"4",3,"Northern Cape",2021-11-05,4
"5",3,"Mpumalanga",2021-11-07,5
"6",3,"Western Cape",2021-11-10,6
"7",3,"KwaZulu-Natal",2021-11-12,7
"8",3,"Eastern Cape",2021-11-13,8
"9",3,"Free State",2021-11-14,9
