"","wave_n","region","start_date","rank"
"1",2,"Eastern Cape",2020-09-28,1
"2",2,"Western Cape",2020-09-28,2
"3",2,"KwaZulu-Natal",2020-10-01,3
"4",2,"Gauteng",2020-11-01,4
"5",2,"Free State",2020-11-17,5
"6",2,"Limpopo",2020-11-17,6
"7",2,"Mpumalanga",2020-11-17,7
"8",2,"North West",2020-11-17,8
"9",2,"Northern Cape",2020-11-17,9
