"","wave_n","region","start_date","rank"
"1",5,"Limpopo",2022-03-22,1
"2",5,"North West",2022-03-22,2
"3",5,"Eastern Cape",Inf,3
"4",5,"Free State",Inf,4
"5",5,"Gauteng",Inf,5
"6",5,"KwaZulu-Natal",Inf,6
"7",5,"Mpumalanga",Inf,7
"8",5,"Northern Cape",Inf,8
"9",5,"Western Cape",Inf,9
