"","wave_n","region","start_date","rank"
"1",4,"Eastern Cape",2021-10-31,1
"2",4,"Free State",2021-10-31,2
"3",4,"Gauteng",2021-10-31,3
"4",4,"KwaZulu-Natal",2021-10-31,4
"5",4,"Limpopo",2021-10-31,5
"6",4,"Mpumalanga",2021-10-31,6
"7",4,"North West",2021-10-31,7
"8",4,"Northern Cape",2021-10-31,8
"9",4,"Western Cape",2021-10-31,9
